#Catalogue Version: 2.6.3
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;F0;DM;BINARY;ASSOC;
;;(hms);(dms);(deg);(deg);(s);(Hz);(cm^-3pc);(type);;
85;J0108-1431;01:08:08.4;-14:31:57.1;140.934;-76.817;0.807565;1.238291;2.17;*;*;
86;J0109+11;01:09;+11:32;129.793;-51.104;0.432700;2.311070;17.00;*;*;
87;J0110-22;01:10;-22;163.377;-83.360;1.262000;0.792393;20.80;*;*;
88;J0110-2223;01:10:16.6;-22:23:58.3;166.071;-83.626;1.261960;0.792418;*;*;*;
89;J0111+6624;01:11:21.8;+66:24:10.8;124.928;3.609;4.301872;0.232457;111.20;*;*;
90;J0111-7131;01:11:28.7;-71:31:46.8;300.669;-45.510;0.688542;1.452345;79.40;*;EXGAL:SMC;
91;J0113-7220;01:13:11.0;-72:20:32.2;300.615;-44.688;0.325883;3.068586;125.49;*;EXGAL:SMC;
92;J0115+6325;01:15:45.8;+63:25:50.8;125.648;0.687;0.521455;1.917709;65.07;*;*;
93;J0117+5914;01:17:38.6;+59:14:38.3;126.283;-3.457;0.101439;9.858135;49.42;*;XRS:[pb15],GRS:[saa+23];
94;J0120+1837;01:20:12.0;+18:37:57.1;132.376;-43.711;1.313385;0.761391;*;*;*;
95;J0121+53;01:21;+53:29;127.378;-9.133;2.724785;0.367001;91.38;*;*;
96;J0122+1416;01:22:01.3;+14:16:17;134.030;-47.940;1.388994;0.719946;17.69;*;*;
97;J0125+62;01:26;+62:35;126.899;-0.022;1.708230;0.585401;118.00;*;*;
98;J0125-2327;01:25:01.0;-23:27:08.1;188.932;-81.569;0.003675;272.081088;9.60;ELL1;*;
99;J0129+36;01:29:30;+36:05;131.492;-26.155;1.089000;0.918274;54.00;*;*;
100;J0131-7310;01:31:28.5;-73:10:09.3;298.944;-43.648;0.348124;2.872539;205.22;*;EXGAL:SMC;
101;J0133-6957;01:33:32.4;-69:57:29.6;297.691;-46.739;0.463474;2.157620;22.95;*;*;
102;J0134-2937;01:34:18.6;-29:37:17.1;230.251;-80.250;0.136962;7.301314;21.80;*;*;
103;J0137+1654;01:37:23.8;+16:54:42.1;138.449;-44.571;0.414763;2.411015;26.08;*;*;
104;J0137+6349;01:37:13.3;+63:49:34.3;127.955;1.402;0.717963;1.392830;285.50;*;*;
105;J0139+3336;01:39:57.2;+33:36:59.7;134.381;-28.174;1.247961;0.801307;21.20;*;*;
106;J0139+5621;01:39:38.5;+56:21:36.8;129.609;-5.885;1.775344;0.563271;101.84;*;*;
107;J0139+5814;01:39:19.7;+58:14:31.8;129.216;-4.044;0.272451;3.670390;73.81;*;GRS:[saa+23];
108;J0141+6009;01:41:39.9;+60:09:32.3;129.147;-2.105;1.222949;0.817696;34.93;*;*;
109;J0141+63;01:41;+63:08;128.497;0.798;0.046686;21.419743;272.80;*;*;
110;J0141+6303;01:41:45.7;+63:03:49.4;128.595;0.747;0.046680;21.422324;272.76;*;*;
111;J0146+31;01:46:15;+31:04;136.532;-30.353;0.938100;1.065984;25.00;*;*;
112;J0146+6145;01:46:22.4;+61:45:02.8;129.384;-0.431;8.688994;0.115088;*;*;XRS:4U_0142+61;
113;J0147+5922;01:47:44.6;+59:22:03.2;130.059;-2.723;0.196321;5.093689;40.11;*;*;
114;J0149+29;01:49:00;+29:10;137.766;-32.042;2.654000;0.376790;35.00;*;*;
115;J0151-0635;01:51:22.7;-06:35:03.6;160.368;-65.004;1.464665;0.682750;25.49;*;*;
116;J0152+0948;01:52:23.7;+09:48:10;146.812;-50.221;2.746647;0.364080;22.88;*;*;
117;J0152-1637;01:52:10.8;-16:37:54.0;179.306;-72.457;0.832743;1.200851;12.03;*;*;
118;J0154+1833;01:54:36.8;+18:33:50.7;143.185;-41.810;0.002365;422.909914;19.80;*;GRS:[saa+23];
119;J0156+04;01:56:01;+04:02;151.975;-55.155;*;*;27.50;*;*;
120;J0156+3949;01:56:55.2;+39:49:29;136.369;-21.332;1.811561;0.552010;59.83;*;*;
121;J0157+6212;01:57:49.9;+62:12:26.6;130.586;0.326;2.351745;0.425216;30.21;*;*;
122;J0158+21;01:58:29;+21:08;143.208;-39.084;0.505300;1.979022;20.00;*;*;
123;J0201+7005;02:01:41.3;+70:05:18.1;128.889;8.033;1.349184;0.741188;21.03;*;*;
124;J0203-0150;02:03:33.9;-01:50:01.5;160.317;-59.365;0.005173;193.299398;19.22;ELL1;*;
125;J0205+6449;02:05:37.9;+64:49:41.3;130.719;3.084;0.065716;15.217011;140.70;*;GRS:4FGL_J0205.7+6449[aab+22],SNR:3C58[b;
126;J0206-4028;02:06:01.2;-40:28:03.2;258.595;-69.633;0.630551;1.585913;13.00;*;*;
127;J0209+4331;02:09:53.5;+43:31:05.9;137.686;-17.094;0.863883;1.157565;57.29;*;*;
128;J0209+5759;02:09:37.3;+57:59:45.3;133.162;-3.314;1.063906;0.939932;55.28;*;*;
129;J0210+5845;02:10:56.4;+58:45:17.7;133.099;-2.539;1.766219;0.566181;76.79;*;*;
130;J0211+4235;02:11:06.6;+42:35:24.4;138.214;-17.905;0.350731;2.851188;49.70;*;*;
131;J0211-8159;02:11:58.3;-81:59:35.7;299.592;-34.606;3.231999;0.309406;25.81;*;*;
132;J0212+5222;02:12:52.1;+52:22:49.5;135.331;-8.520;0.376386;2.656844;38.21;*;*;
133;J0212+5321;02:12:10.4;+53:21:38.8;134.922;-7.621;2.114700;0.472880;25.70;BT;GRS:3FGL_J0212.5+5320[pbhg23];
134;J0214+5222;02:14:55.2;+52:22:40.9;135.632;-8.423;0.024575;40.691272;22.04;DD;*;
135;J0215+6218;02:15:56.6;+62:18:33.3;132.575;1.030;0.548880;1.821892;84.00;*;*;
136;J0218+4232;02:18:06.3;+42:32:17.3;139.508;-17.527;0.002323;430.461055;61.25;ELL1;GRS:4FGL_J0218.1+4232[aab+22];
137;J0220+3626;02:20:42.1;+36:26:55.7;142.317;-23.040;1.029700;0.971157;40.00;*;*;
138;J0227+3356;02:26:57.0;+33:56:27.7;144.657;-24.870;1.240102;0.806385;27.00;*;*;
139;J0229+20;02:29:03;+20:58;151.579;-36.417;0.806900;1.239311;27.00;*;*;
