#Catalogue Version: 2.6.3
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;F0;DM;BINARY;ASSOC;
;;(hms);(dms);(deg);(deg);(s);(Hz);(cm^-3pc);(type);;
3124;J1901+1306;19:01:48.7;+13:06:48.3;45.786;3.683;1.830857;0.546192;75.00;*;*;
3125;J1901+1316_P;19:01:20;+13:16;45.870;3.856;0.740959;1.349602;155.40;*;*;
3126;J1901-0015_P;19:01:11;-00:15;33.821;-2.282;0.517073;1.933963;200.40;*;*;
3127;J1901-0104_P;19:01:10;-01:04;33.091;-2.651;0.739514;1.352239;261.20;*;*;
3128;J1901-0125;19:01:33.8;-01:25:29;32.817;-2.902;0.002793;357.991174;70.42;*;GRS:4FGL_J1901.4-0126[aab+22];
3129;J1901-0312;19:01:15.6;-03:12:30.2;31.192;-3.646;0.355727;2.811148;106.40;*;*;
3130;J1901-0315;19:01:16.3;-03:15:14.3;31.152;-3.669;0.801693;1.247360;242.60;*;*;
3131;J1901-0906;19:01:52.9;-09:06:11.2;25.979;-6.441;1.781929;0.561190;72.68;*;*;
3132;J1901-1740;19:01:18.0;-17:40:00;18.138;-10.071;1.956858;0.511023;24.40;*;*;
3133;J1902+0011_P;19:02:40;+00:11;34.376;-2.414;0.005928;168.690958;248.50;*;*;
3134;J1902+0235;19:02:31.0;+02:35:14.7;36.498;-1.282;0.415394;2.407352;280.49;*;*;
3135;J1902+0248;19:02:50.2;+02:48:56;36.738;-1.249;1.223777;0.817142;268.80;*;*;
3136;J1902+0556;19:02:42.6;+05:56:25.9;39.501;0.210;0.746577;1.339446;177.49;*;*;
3137;J1902+0557_P;19:02:55;+05:57;39.533;0.169;*;*;414.00;*;*;
3138;J1902+0615;19:02:50.2;+06:16:33.4;39.814;0.336;0.673507;1.484766;502.97;*;*;
3139;J1902+0717_P;19:02:05;+07:17;40.624;0.964;0.356051;2.808586;449.90;*;*;
3140;J1902+0723;19:02:13.5;+07:23:51;40.742;0.984;0.487813;2.049967;105.00;*;*;
3141;J1902+0809_P;19:02:19;+08:09;41.421;1.309;0.190230;5.256794;436.90;*;*;
3142;J1902+0909_P;19:02:56;+09:09;42.381;1.631;0.689101;1.451166;353.10;*;*;
3143;J1902+0927_P;19:02:09;+09:26;42.544;1.932;0.605429;1.651723;291.60;*;*;
3144;J1902+0938_P;19:02:10;+09:38;42.724;2.020;0.045402;22.025607;147.30;*;*;
3145;J1902+0953_P;19:02:15;+09:53;42.956;2.116;0.677330;1.476385;295.30;*;*;
3146;J1902+1022_P;19:02:42;+10:22;43.437;2.238;0.501907;1.992401;289.30;*;*;
3147;J1902+1141;19:02:02.2;+11:41:05.5;44.537;2.984;0.409140;2.444150;269.12;*;*;
3148;J1902+1234_P;19:02:49;+12:34;45.410;3.216;0.474170;2.108948;179.90;*;*;
3149;J1902-0012_P;19:02:03;-00:12;33.964;-2.452;14.308900;0.069887;126.60;*;*;
3150;J1902-0107_P;19:02:36;-01:07;33.210;-2.993;0.006125;163.265306;290.20;*;*;
3151;J1902-0340;19:02:50.7;-03:40:18;30.958;-4.209;1.524672;0.655879;114.00;*;*;
3152;J1902-1036;19:02:42.3;-10:36:13.0;24.716;-7.291;0.786814;1.270949;96.30;*;*;
3153;J1902-5105;19:02:02.8;-51:05:57.0;345.650;-22.379;0.001742;573.921045;36.25;ELL1;GRS:4FGL_J1902.0-5105[aab+22];
3154;J1903+0135;19:03:29.9;+01:35:38.1;35.727;-1.955;0.729308;1.371164;244.96;*;*;
3155;J1903+0317_P;19:03:06;+03:17;37.184;-1.093;0.521155;1.918815;447.00;*;*;
3156;J1903+0319_P;19:03:13;+03:19;37.227;-1.104;1.853710;0.539459;307.00;*;*;
3157;J1903+0327;19:03:05.7;+03:27:19.2;37.336;-1.014;0.002150;465.135238;297.50;DD;OPT:[fbw+11];
3158;J1903+0415;19:03:28.3;+04:15:07.6;38.088;-0.732;1.151399;0.868509;481.90;*;*;
3159;J1903+0433_P;19:03:24.0;+04:32:57.2;38.343;-0.580;14.049816;0.071175;200.60;*;*;
3160;J1903+0534_P;19:03:29;+05:34;39.257;-0.132;0.357650;2.796030;407.70;*;*;
3161;J1903+0601;19:03:20.8;+06:01:33.4;39.650;0.108;0.374129;2.672874;386.11;*;*;
3162;J1903+0654;19:03:55.2;+06:54:39.4;40.502;0.388;0.791232;1.263851;329.00;*;*;
3163;J1903+0830_P;19:03:39;+08:29;41.869;1.168;0.004086;244.738130;334.80;*;*;
3164;J1903+0839_P;19:03:51;+08:39;42.040;1.200;0.004621;216.394010;166.50;*;*;
3165;J1903+0845;19:03:39.6;+08:45:58.0;42.121;1.295;0.153150;6.529533;129.56;*;*;
3166;J1903+0851;19:03:04.5;+08:51:28.4;42.137;1.466;1.231882;0.811766;83.00;*;*;
3167;J1903+0912;19:03:42.1;+09:12:41.6;42.522;1.490;0.166314;6.012706;363.10;*;*;
3168;J1903+0925;19:03:55.1;+09:25:55;42.743;1.543;0.357155;2.799906;162.00;*;*;
3169;J1903+0949_P;19:03:41;+09:49;43.058;1.771;0.325440;3.072763;107.90;*;*;
3170;J1903+1728_P;19:03:22;+17:28;49.851;5.319;1.716552;0.582563;150.30;*;*;
3171;J1903+2225;19:03:52.9;+22:25:12.3;54.363;7.427;0.651185;1.535661;109.20;*;*;
3172;J1903-0258;19:03:30.3;-02:58:15.6;31.659;-4.038;0.301459;3.317203;114.10;*;*;
3173;J1903-0632;19:03:37.9;-06:32:21.5;28.479;-5.679;0.431889;2.315408;195.61;*;*;
3174;J1903-0848;19:03:11.2;-08:48:57.4;26.382;-6.601;0.887325;1.126983;66.99;*;*;
3175;J1903-7051;19:03:38.7;-70:51:43.5;324.391;-26.508;0.003598;277.940062;19.66;ELL1;GRS:4FGL_J1903.4-7053[aab+22];
3176;J1904+0004;19:04:12.7;+00:04:05.0;34.450;-2.811;0.139525;7.167189;233.25;*;*;
3177;J1904+0050_P;19:04:07;+00:50;35.121;-2.440;0.496182;2.015390;305.50;*;*;
3178;J1904+0056;19:04:07.0;+00:56:59;35.224;-2.387;0.438089;2.282639;127.00;*;*;
3179;J1904+0056_P;19:04:58;+00:56;35.307;-2.583;0.005851;170.910955;51.40;*;*;
3180;J1904+0100_P;19:04:07;+01:00;35.269;-2.364;1.308790;0.764065;146.30;*;*;
3181;J1904+0207_P;19:04:44;+02:07;36.333;-1.990;0.005040;198.412698;229.90;*;*;
3182;J1904+0358_P;19:04:22;+03:58;37.936;-1.061;0.751540;1.330601;532.00;*;*;
3183;J1904+0412;19:04:31.3;+04:12:05.9;38.163;-0.988;0.071095;14.065707;186.70;BT;*;
3184;J1904+0415_P;19:04:05;+04:15;38.156;-0.868;0.231450;4.320588;521.00;*;*;
3185;J1904+0451;19:04:59.3;+04:51:54.9;38.806;-0.787;0.006092;164.139791;182.71;*;*;
3186;J1904+0519_P;19:04:07;+05:19;39.107;-0.387;1.680530;0.595050;80.80;*;*;
3187;J1904+0535_P;19:04:51;+05:35;39.428;-0.426;0.603760;1.656287;78.40;*;*;
3188;J1904+0553A_;19:04:16;+05:53;39.628;-0.160;0.004908;203.748981;164.20;*;*;
3189;J1904+0553B_;19:04:17;+05:53;39.630;-0.164;0.574540;1.740523;140.90;*;*;
3190;J1904+0553_P;19:04:17;+05:53;39.630;-0.164;0.004910;203.665988;164.20;*;*;
3191;J1904+0603_P;19:04:52;+06:03;39.845;-0.216;1.974930;0.506347;413.20;*;*;
3192;J1904+0621_P;19:04:55;+06:21;40.117;-0.089;1.232310;0.811484;173.20;*;*;
3193;J1904+0738;19:04:07.5;+07:38:51.6;41.180;0.680;0.208959;4.785639;278.32;*;*;
3194;J1904+0800;19:04:03.5;+08:00:52.2;41.498;0.863;0.263356;3.797143;440.00;*;*;
3195;J1904+0823_P;19:04:43;+08:23;41.901;0.888;1.507730;0.663249;60.40;*;*;
3196;J1904+0836_P;19:04:37;+08:35;42.067;1.001;0.004440;225.225225;90.50;*;*;
3197;J1904+0852;19:04:55.2;+08:53:09.8;42.371;1.073;0.006197;161.357217;195.16;*;*;
3198;J1904+0853;19:04:55.2;+08:53:09.8;42.371;1.073;0.006197;161.357989;195.16;*;*;
3199;J1904+0944_P;19:04:20;+09:45;43.072;1.598;1.567790;0.637841;326.60;*;*;
3200;J1904+1011;19:04:02.4;+10:11:34.3;43.433;1.865;1.856570;0.538628;136.90;*;*;
3201;J1904+33;19:04;+33;64.058;11.973;0.417000;2.398082;81.04;*;*;
3202;J1904-0036_P;19:04:45;-00:36;33.916;-3.235;0.397131;2.518061;254.30;*;*;
3203;J1904-0150;19:04:55.5;-01:50:32.5;32.828;-3.841;0.379387;2.635830;158.20;*;*;
3204;J1904-11;19:04:34;-11:30:34;24.100;-8.101;0.002620;381.679389;97.70;*;GRS:4FGL_J1904.4-1129[aab+22];
3205;J1904-1224;19:04:33.2;-12:24:01.3;23.291;-8.490;0.750809;1.331897;118.23;*;*;
3206;J1904-1629;19:04:51.3;-16:29:19;19.590;-10.332;1.541412;0.648756;145.00;*;*;
3207;J1905+0154A;19:05:15.4;+01:54:33;36.208;-2.201;0.003193;313.190897;193.69;ELL1;GC:NGC6749;
3208;J1905+0156_P;19:05:07;+01:56;36.214;-2.159;1.085150;0.921532;136.90;*;*;
3209;J1905+0400;19:05:28.2;+04:00:10.8;38.095;-1.289;0.003784;264.242346;25.60;*;*;
3210;J1905+0414;19:05;+04:14;38.246;-1.079;*;*;383.00;*;*;
3211;J1905+0450_P;19:05:59;+04:50;38.891;-1.021;0.783300;1.276650;442.30;*;*;
3212;J1905+0558_P;19:05:04;+05:58;39.793;-0.298;0.845920;1.182145;472.20;*;*;
3213;J1905+0600;19:05:04.3;+06:01:00.6;39.839;-0.277;0.441210;2.266492;728.40;*;*;
3214;J1905+0616;19:05:06.7;+06:16:16.3;40.069;-0.169;0.989797;1.010308;256.05;*;*;
3215;J1905+0649_P;19:05:05;+06:49;40.550;0.088;0.027470;36.403349;187.70;*;*;
3216;J1905+0656;19:05:44.3;+06:56:35.0;40.737;0.002;2.511763;0.398127;24.20;*;*;
3217;J1905+0709;19:05:53.6;+07:09:19.4;40.944;0.065;0.648044;1.543104;244.14;*;*;
3218;J1905+0758;19:05:50.9;+07:58:52.6;41.672;0.454;1.192649;0.838470;197.10;*;*;
3219;J1905+0849_P;19:05:02;+08:49;42.322;1.017;1.034000;0.967118;257.80;*;*;
3220;J1905+0902;19:05:19.5;+09:02:32.3;42.555;1.056;0.218254;4.581811;433.80;*;*;
3221;J1905+0920_P;19:05:09;+09:20;42.794;1.228;0.170470;5.866135;396.60;*;*;
3222;J1905+0935;19:05:26.0;+09:35:59.4;43.063;1.288;1.634497;0.611809;417.96;*;*;
3223;J1905+0936;19:05:26.0;+09:35:59.4;43.063;1.288;1.634497;0.611809;417.40;*;*;
3224;J1905+1034;19:05:20.6;+10:34:27.7;43.919;1.755;1.726810;0.579102;164.00;*;*;
3225;J1905+1200_P;19:05:07;+12:00;45.162;2.457;*;*;183.50;*;*;
3226;J1905-0046_P;19:05:08;-00:46;33.811;-3.397;0.760117;1.315587;288.20;*;*;
3227;J1905-0056;19:05:27.7;-00:56:41.1;33.690;-3.551;0.643184;1.554765;228.85;*;*;
3228;J1905-0128_P;19:05:33;-01:28;33.235;-3.808;1.070988;0.933717;100.30;*;*;
3229;J1906+0055;19:06:48.6;+00:55:07.8;35.505;-3.000;0.002790;358.480447;126.83;ELL1;*;
3230;J1906+0310_P;19:06:20;+03:10;37.450;-1.864;9.999990;0.100000;307.50;*;*;
3231;J1906+0335_P;19:06:49;+03:35;37.876;-1.780;1.296380;0.771379;210.20;*;*;
3232;J1906+0352_P;19:06:27;+03:52;38.086;-1.569;0.285600;3.501401;372.00;*;*;
3233;J1906+0414;19:06:57.7;+04:14:29.4;38.478;-1.510;1.043362;0.958440;348.60;*;*;
3234;J1906+0454;19:06:47.1;+04:54:09.0;39.045;-1.167;0.002083;480.012672;142.79;ELL1;*;
3235;J1906+0509;19:06:56.4;+05:09:35.6;39.291;-1.083;0.397590;2.515156;99.50;*;*;
3236;J1906+0641;19:06:35.2;+06:41:02.9;40.604;-0.304;0.267277;3.741439;472.13;*;*;
3237;J1906+0646_P;19:06:15.7;+06:47:07.2;40.657;-0.186;0.355551;2.812535;291.90;*;*;
3238;J1906+0649;19:06:12.0;+06:49:48.5;40.690;-0.152;1.286564;0.777264;249.00;*;*;
3239;J1906+0722;19:06:31.2;+07:22:55.8;41.216;0.031;0.111524;8.966669;*;*;GRS:4FGL_J1906.4+0723[aab+22];
3240;J1906+0724;19:06:22.5;+07:24:22.8;41.222;0.074;1.536490;0.650834;475.20;*;*;
3241;J1906+0746;19:06:48.8;+07:46:25.9;41.598;0.147;0.144073;6.940918;218.40;DD;*;
3242;J1906+0757;19:06:41.7;+07:57:01.8;41.741;0.254;0.057189;17.485850;79.10;*;*;
3243;J1906+0822_P;19:06:37;+08:22;42.102;0.463;0.433440;2.307124;367.90;*;*;
3244;J1906+0912;19:06:28.4;+09:12:55.4;42.839;0.884;0.775345;1.289749;266.28;*;*;
3245;J1906+1049_P;19:06:21;+10:49;44.248;1.647;0.414594;2.411998;279.10;*;*;
3246;J1906+1211_P;19:06:42;+12:11;45.503;2.197;3.804988;0.262813;292.40;*;*;
3247;J1906+1854;19:06:44.7;+18:54:08.5;51.501;5.251;1.019093;0.981265;156.77;*;*;
3248;J1906-0036_P;19:06:44;-00:36;34.143;-3.677;0.129432;7.726065;260.00;*;*;
3249;J1906-0200_P;19:06:56;-02:00;32.916;-4.359;0.002530;395.256917;138.40;*;*;
3250;J1906-1754;19:06:14.7;-17:54:34.3;18.426;-11.239;0.002876;347.662881;98.09;BT;*;
3251;J1907+0009_P;19:07:21;+00:09;34.882;-3.471;0.002375;421.052632;83.00;*;*;
3252;J1907+0014_P;19:07:56;+00:15;35.038;-3.555;0.024525;40.774720;172.50;*;*;
3253;J1907+0029_P;19:07:23;+00:29;35.183;-3.326;0.063641;15.713141;120.40;*;*;
3254;J1907+0052_P;19:07:57;+00:52;35.589;-3.277;0.002921;342.348511;162.90;*;*;
3255;J1907+0249;19:07:42.0;+02:49:41;37.306;-2.323;0.351879;2.841882;261.00;*;*;
3256;J1907+0255;19:07:17.9;+02:55:02.7;37.339;-2.192;0.618761;1.616134;260.60;*;*;
3257;J1907+0345;19:07:14.5;+03:45:10.6;38.075;-1.796;0.240153;4.164008;311.70;*;*;
3258;J1907+0534;19:07:23.3;+05:34:53;39.717;-0.988;1.138403;0.878424;526.00;*;*;
3259;J1907+0555_P;19:07:27;+05:55;40.021;-0.848;3.159290;0.316527;149.50;*;*;
3260;J1907+0602;19:07:54.7;+06:02:16.9;40.182;-0.894;0.106633;9.377982;82.10;*;GRS:4FGL_J1907.9+0602[aab+22],SNR:G40.5-;
3261;J1907+0631;19:07:03.8;+06:31:18.9;40.515;-0.484;0.323648;3.089776;428.60;*;SNR:G40.5-0.5[lsb+17];
3262;J1907+0658_P;19:07:34;+06:58;40.967;-0.390;0.218340;4.580013;523.00;*;*;
3263;J1907+0709_P;19:07:56;+07:09;41.172;-0.387;0.344100;2.906132;278.10;*;*;
3264;J1907+0731;19:07:54.7;+07:31:22.0;41.500;-0.211;0.363686;2.749622;239.80;*;*;
3265;J1907+0740;19:07:44.1;+07:40:22.6;41.613;-0.102;0.574698;1.740043;334.77;*;*;
3266;J1907+0833;19:07:57.0;+08:33:59.9;42.431;0.262;0.167628;5.965605;511.68;*;*;
3267;J1907+0859;19:07:01.9;+08:59:43.8;42.707;0.661;1.527042;0.654861;190.00;*;*;
3268;J1907+0918;19:07:22.4;+09:18:30.7;43.024;0.730;0.226107;4.422683;357.70;*;*;
3269;J1907+0919;19:07:14.3;+09:19:20.1;43.021;0.766;5.198346;0.192369;*;*;SNR:G42.8+0.6(?),XRS:SGR_1900+14;
3270;J1907+1149;19:07:37.7;+11:49:37.1;45.290;1.832;1.420160;0.704146;207.20;*;*;
3271;J1907+1247;19:07:10.7;+12:47:35.9;46.099;2.373;0.827097;1.209047;257.00;*;*;
3272;J1907+4002;19:07:34.6;+40:02:05.7;70.948;14.203;1.235757;0.809220;30.97;*;*;
3273;J1907+57;19:07;+57;87.484;20.459;0.424000;2.358491;54.63;*;*;
3274;J1907-0119_P;19:07:35;-01:19;33.601;-4.192;0.058991;16.951738;154.80;*;*;
3275;J1907-1018;19:07:42.0;-10:18:42.5;25.529;-8.262;1.765776;0.566323;90.99;*;*;
3276;J1907-1532;19:07:06.7;-15:32:14.9;20.700;-10.413;0.632235;1.581690;72.60;*;*;
3277;J1908+0002_P;19:08:28;+00:02;34.906;-3.773;1.300000;0.769231;76.80;*;*;
3278;J1908+0029_P;19:08:30;+00:30;35.325;-3.567;0.003416;292.740047;165.20;*;*;
3279;J1908+0053_P;19:08:06;+00:53;35.621;-3.303;0.552905;1.808629;210.40;*;*;
3280;J1908+0128;19:08:18.8;+01:28:22.7;36.170;-3.080;0.004702;212.660791;75.10;ELL1;*;
3281;J1908+0136_P;19:08:39;+01:36;36.322;-3.097;1.104130;0.905690;310.40;*;*;
3282;J1908+0233_P;19:08:42;+02:33;37.173;-2.672;0.969160;1.031821;237.80;*;*;
3283;J1908+0457;19:08:16.1;+04:57:41;39.267;-1.468;0.846793;1.180926;349.20;*;*;
3284;J1908+0457_P;19:08:30;+04:57;39.283;-1.524;0.976470;1.024097;356.70;*;*;
3285;J1908+0500;19:08:05.1;+05:00:53.9;39.293;-1.403;0.291023;3.436155;201.29;*;*;
3286;J1908+0558;19:08:01.9;+05:58:33.9;40.141;-0.949;0.168678;5.928471;457.70;*;*;
3287;J1908+0705_P;19:08:55;+07:04;41.210;-0.642;0.001990;502.512563;41.40;*;*;
3288;J1908+0734;19:08:17.0;+07:34:11.8;41.584;-0.271;0.212353;4.709149;11.10;*;*;
3289;J1908+0811_P;19:08:43;+08:11;42.178;-0.083;0.181640;5.505395;300.10;*;*;
3290;J1908+0833;19:08:20.9;+08:33:31.5;42.469;0.171;0.512111;1.952703;700.00;*;*;
3291;J1908+0839;19:08:18.5;+08:39:59.2;42.560;0.229;0.185397;5.393823;513.30;*;*;
3292;J1908+0909;19:08:07.4;+09:09:11.8;42.972;0.494;0.336578;2.971076;466.06;*;*;
3293;J1908+0911_P;19:08:08;+09:11;42.999;0.506;5.166050;0.193571;132.20;*;*;
3294;J1908+0916;19:08:58.7;+09:16:13.7;43.173;0.361;0.830270;1.204427;249.80;*;*;
3295;J1908+0949_P;19:08:07;+09:49;43.560;0.801;0.009050;110.497238;220.30;*;*;
3296;J1908+1035_P;19:08:21;+10:36;44.282;1.111;0.010690;93.545370;10.90;*;*;
3297;J1908+1351;19:08:35.3;+13:51:40;47.206;2.558;3.174832;0.314977;178.80;*;*;
3298;J1908+2105;19:08:57.2;+21:05:02.7;53.692;5.775;0.002564;389.955880;61.91;ELL1;GRS:4FGL_J1908.9+2103[aab+22];
3299;J1908+2351;19:08:31.9;+23:51:41.9;56.144;7.112;0.377578;2.648459;101.69;*;*;
3300;J1908-0022_P;19:08:21;-00:22;34.536;-3.930;0.472513;2.116344;174.30;*;*;
3301;J1909+0007;19:09:35.2;+00:07:57.7;35.123;-3.977;1.016953;0.983329;112.79;*;*;
3302;J1909+0137_P;19:09:14;+01:37;36.404;-3.218;1.881418;0.531514;330.70;*;*;
3303;J1909+0157_P;19:09:46;+01:57;36.762;-3.184;0.502581;1.989729;249.10;*;*;
3304;J1909+0254;19:09:38.3;+02:54:50.6;37.605;-2.713;0.989836;1.010269;171.73;*;*;
3305;J1909+0310_P;19:09:51;+03:10;37.854;-2.644;1.972045;0.507088;111.00;*;*;
3306;J1909+0423_P;19:09:31;+04:23;38.896;-2.010;0.511578;1.954736;254.90;*;*;
3307;J1909+0616;19:09:51.2;+06:16:51.8;40.620;-1.210;0.755993;1.322764;346.80;*;*;
3308;J1909+0641;19:09:29.0;+06:41:25.8;40.941;-0.940;0.741762;1.348141;36.70;*;*;
3309;J1909+0651_P;19:09:01;+06:51;41.029;-0.763;0.578068;1.729900;33.60;*;*;
3310;J1909+0657_P;19:09:13;+06:57;41.141;-0.761;1.245890;0.802639;59.90;*;*;
3311;J1909+0749;19:09:08.2;+07:49:32;41.909;-0.340;0.237161;4.216540;539.30;*;*;
3312;J1909+0905_P;19:09:39;+09:05;43.083;0.127;1.494880;0.668950;250.60;*;*;
3313;J1909+0912;19:09:19.8;+09:12:53.3;43.164;0.258;0.222972;4.484866;423.09;*;*;
3314;J1909+0930_P;19:09:46;+09:30;43.466;0.294;2.020780;0.494858;479.60;*;*;
3315;J1909+1102;19:09:48.6;+11:02:03.2;44.832;0.992;0.283643;3.525564;149.84;*;*;
3316;J1909+1132_P;19:09:36;+11:32;45.251;1.268;0.006800;147.058824;276.10;*;*;
3317;J1909+1148;19:09:31.3;+11:48:59.8;45.494;1.416;0.448945;2.227442;199.80;*;*;
3318;J1909+1205;19:09:51.4;+12:05:47;45.780;1.472;1.229312;0.813463;302.50;*;*;
3319;J1909+1337_P;19:09:16;+13:38;47.079;2.308;3.864816;0.258745;234.60;*;*;
3320;J1909+1450;19:09:26.9;+14:50:58;48.181;2.827;0.996108;1.003907;119.50;*;*;
3321;J1909+1859;19:09:18.6;+18:59:10.7;51.852;4.749;0.542451;1.843484;64.52;*;*;
3322;J1909-3744;19:09:47.4;-37:44:14.9;359.731;-19.596;0.002947;339.315687;10.39;T2;*;
3323;J1910+0130_P;19:10:43;+01:30;36.470;-3.601;0.005641;177.273533;118.40;*;*;
3324;J1910+0225;19:10:10.3;+02:25:24.5;37.230;-3.057;0.337855;2.959850;209.91;*;*;
3325;J1910+0358;19:10:09.0;+03:58:28.0;38.606;-2.339;2.330266;0.429135;82.93;*;*;
3326;J1910+0423_P;19:10:10;+04:23;38.971;-2.154;0.093243;10.724666;339.90;*;*;
3327;J1910+0435;19:10:11.0;+04:35:29.5;39.158;-2.062;0.664679;1.504485;297.00;*;*;
3328;J1910+0517;19:10:37.9;+05:17:56.5;39.838;-1.835;0.308048;3.246246;305.90;*;*;
3329;J1910+0534;19:10:26.5;+05:34:09;40.056;-1.668;0.452867;2.208152;479.40;*;*;
3330;J1910+0710;19:10:13.8;+07:10:46.4;41.461;-0.879;0.538647;1.856504;254.10;*;*;
3331;J1910+0714;19:10:18.5;+07:14:12.1;41.520;-0.870;2.712428;0.368673;124.47;*;*;
3332;J1910+0728;19:10:22.0;+07:28:37.0;41.740;-0.772;0.325421;3.072947;283.94;*;*;
3333;J1910+1017;19:10:26.1;+10:17:54.0;44.250;0.517;0.411159;2.432150;633.83;*;*;
3334;J1910+1026;19:10:48.7;+10:26:52.5;44.426;0.503;0.531493;1.881492;715.30;*;*;
3335;J1910+1054_P;19:10:01;+10:54;44.737;0.886;0.003870;258.397933;139.40;*;*;
3336;J1910+1117_P;19:10:27;+11:17;45.126;0.968;1.321520;0.756704;296.50;*;*;
3337;J1910+1231;19:10:13.5;+12:31:40.2;46.205;1.591;1.441749;0.693602;258.64;*;*;
3338;J1910+1256;19:10:09.7;+12:56:25.4;46.564;1.795;0.004984;200.658802;38.00;T2;*;
3339;J1910+56;19:10:42;+56:55;87.575;19.955;0.341900;2.924832;20.75;*;*;
3340;J1910-0016_P;19:10:29;-00:16;34.869;-4.358;2.063560;0.484599;109.00;*;*;
3341;J1910-0112;19:10:15.7;-01:12:06;34.009;-4.736;1.360603;0.734968;155.60;*;*;
3342;J1910-0309;19:10:29.7;-03:09:54.2;32.280;-5.681;0.504606;1.981743;205.39;*;*;
3343;J1910-0556;19:10:16.5;-05:56:29.9;29.762;-6.885;0.557609;1.793371;88.30;*;*;
3344;J1910-5320;19:10:49.1;-53:20:57.1;343.652;-24.249;0.002332;428.749018;24.42;BTX;*;
3345;J1910-5959A;19:11:42.7;-59:58:26.9;336.525;-25.730;0.003266;306.167441;33.70;ELL1H;GC:NGC6752,XRS:[fhc+14];
3346;J1910-5959B;19:10:52.0;-59:59:00.8;336.494;-25.628;0.008358;119.648733;33.28;*;GC:NGC6752,XRS:[bgh+06],XRS:[fhc+14];
3347;J1910-5959C;19:11:05.5;-60:00:59.7;336.464;-25.662;0.005277;189.489871;33.21;*;GC:NGC6752,XRS:[bgh+06],XRS:[fhc+14];
3348;J1910-5959D;19:10:52.4;-59:59:05.4;336.493;-25.629;0.009035;110.677192;33.28;*;GC:NGC6752,XRS:[bgh+06],XRS:[fhc+14];
3349;J1910-5959E;19:10:52.1;-59:59:02.0;336.494;-25.628;0.004572;218.733858;33.31;*;GC:NGC6752,XRS:[fhc+14];
3350;J1910-5959F;19:10:52.0;-59:59:09.3;336.491;-25.629;0.008485;117.848178;33.20;*;GC:NGC6752;
3351;J1911+00;19:11:48;+00:37;35.808;-4.247;6.940000;0.144092;100.00;*;*;
3352;J1911+0101A;19:11:11.0;+01:02:09.7;36.111;-3.918;0.003619;276.355755;202.60;ELL1;GC:NGC6760,OPT:[bvvh03];
3353;J1911+0101B;19:11:12.5;+01:01:50.4;36.109;-3.926;0.005384;185.724277;196.69;*;GC:NGC6760;
3354;J1911+0305_P;19:11:53;+03:05;38.013;-3.133;0.005856;170.765027;147.00;*;*;
3355;J1911+0310_P;19:11:18;+03:10;38.020;-2.965;1.332640;0.750390;167.70;*;*;
3356;J1911+0314_P;19:11:47;+03:14;38.135;-3.042;0.531163;1.882661;167.30;*;*;
3357;J1911+0329_P;19:11:21;+03:29;38.307;-2.830;0.058230;17.173278;210.10;*;*;
3358;J1911+0751_P;19:11:43;+07:51;42.225;-0.896;0.796910;1.254847;220.70;*;*;
3359;J1911+0906_P;19:11:38;+09:06;43.324;-0.299;16.925900;0.059081;24.50;*;*;
3360;J1911+0921;19:11:46.4;+09:21:56.8;43.576;-0.207;0.273707;3.653545;340.70;*;*;
3361;J1911+0925;19:11:59.4;+09:25:32.2;43.654;-0.227;0.323858;3.087777;486.60;*;*;
3362;J1911+0939_P;19:11:38;+09:39;43.812;-0.045;0.365470;2.736203;597.30;*;*;
3363;J1911+1017_P;19:11:13;+10:17;44.326;0.339;1.336760;0.748077;162.10;*;*;
3364;J1911+1051;19:11:42.2;+10:51:26.7;44.890;0.499;0.190873;5.239090;445.21;*;*;
3365;J1911+1206_P;19:11:24;+12:06;45.958;1.139;0.003440;290.697674;181.70;*;*;
3366;J1911+1252_P;19:11:28;+12:53;46.660;1.487;0.027240;36.710720;68.70;*;*;
3367;J1911+1301;19:11:31.7;+13:01:26.6;46.792;1.538;1.010462;0.989647;388.80;*;*;
3368;J1911+1336;19:11:59.5;+13:36:55.0;47.368;1.712;0.299992;3.333422;323.95;*;*;
3369;J1911+1347;19:11:55.2;+13:47:34.3;47.518;1.809;0.004626;216.171227;30.99;*;*;
3370;J1911+1440_P;19:11:20;+14:40;48.228;2.339;0.582474;1.716815;87.20;*;*;
3371;J1911+1525_P;19:11:36;+15:25;48.924;2.627;3.282490;0.304647;299.80;*;*;
3372;J1911+1758;19:11:55.3;+17:58:45.7;51.238;3.738;0.460406;2.171997;48.90;*;*;
3373;J1911-0129_P;19:11:08;-01:29;33.857;-5.058;1.126810;0.887461;204.80;*;*;
3374;J1911-1114;19:11:49.2;-11:14:22.4;25.137;-9.579;0.003626;275.805338;30.97;ELL1;XRS:[pb15];
3375;J1912+0735_P;19:12:41;+07:35;42.100;-1.231;3.685070;0.271365;160.40;*;*;
3376;J1912+0934_P;19:12:41;+09:34;43.858;-0.313;0.897470;1.114243;143.80;*;*;
3377;J1912+1000_P;19:12:46;+10:00;44.251;-0.130;3.052800;0.327568;146.50;*;*;
3378;J1912+1036;19:12:46.3;+10:36:41.6;44.794;0.152;0.409349;2.442900;147.00;*;*;
3379;J1912+1105_P;19:12:25;+11:05;45.171;0.448;0.670710;1.490957;150.40;*;*;
