#ATNF Pulsar Catalogue
#Catalogue Version: 2.7.0
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;P1;F0;F1;DM;RM;W50;BINARY;DIST;ZZ;XX;YY;ASSOC;DISC.;PSR;NGLT;AGE;BSURF;EDOT;
;;(hms);(dms);(deg);(deg);(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(type);(kpc);(kpc);(kpc);(kpc);;DATE;TYPE;;(Yr);(G);(ergs/s);
74;J0101-6422;01:01:11.1;-64:22:30.1;301.192;-52.720;0.002573;5.16e-21;388.628426;-7.793e-16;11.92;20.00;*;BT;1.001;-0.796;-0.519;8.186;GRS:4FGL_J0101.1-6422[aab+22],XRS:[pb15];2012;HE[aab+22];*;7.90e+09;1.17e+08;1.20e+34;
75;J0102+4839;01:02:50.6;+48:39:42.7;124.874;-14.167;0.002964;1.14e-20;337.369120;-1.299e-15;53.50;-86.30;*;ELL1;2.310;-0.565;1.838;9.781;GRS:4FGL_J0102.8+4839[aab+22],GRS:3FGL_J;2011;HE[aab+22],HE[bbc+24];*;4.11e+09;1.86e+08;1.73e+34;
76;J0102+6537;01:02:32.9;+65:37:13.4;124.080;2.773;1.679164;5.95e-15;0.595534;-2.112e-15;65.85;-94.00;89.700;*;2.500;0.121;2.068;9.899;*;1982;*;*;4.47e+06;3.20e+12;4.97e+31;
77;J0103+54;01:03:37;+54:02;124.741;-8.796;0.354304;*;2.822435;*;55.60;-74.00;6.100;*;1.998;-0.306;1.623;9.625;*;2015;RRAT[kkl+15];*;*;*;*;
78;J0104+64;01:04;+64;124.308;1.162;1.386000;*;0.721501;*;44.60;*;45.000;*;1.711;0.035;1.413;9.464;*;2020;*;*;*;*;*;
79;J0105-7208;01:05:38.5;-72:08:53.4;301.395;-44.938;0.306737;2.36e-14;3.260121;-2.510e-13;120.40;*;9.600;*;59.967;-42.357;-36.234;-13.613;EXGAL:SMC;2024;*;*;2.06e+05;2.72e+12;3.23e+34;
80;J0106+4855;01:06:25.0;+48:55:51.8;125.465;-13.867;0.083157;4.28e-16;12.025402;-6.188e-14;70.90;*;*;*;3.063;-0.734;2.422;10.225;GRS:4FGL_J0106.4+4855[aab+22];2012;HE[aab+22];*;3.08e+06;1.91e+11;2.94e+34;
81;J0107+1322;01:07:39.9;+13:22:31.7;128.991;-49.305;1.197383;6.87e-16;0.835154;-4.792e-16;21.67;-14.00;26.900;*;2.349;-1.781;1.190;9.464;*;2019;*;*;2.76e+07;9.18e+11;1.58e+31;
82;J0108+6608;01:08:22.5;+66:08:34.4;124.646;3.328;1.283660;1.31e-14;0.779023;-7.920e-15;30.55;-27.10;22.500;*;2.140;0.124;1.758;9.715;*;1972;*;*;1.56e+06;4.14e+12;2.44e+32;
83;J0108+6905;01:08:29.5;+69:05:52.6;124.461;6.277;1.071118;4.81e-17;0.933604;-4.192e-17;61.06;-33.04;12.000;*;1.981;0.217;1.624;9.614;*;1985;*;*;3.53e+08;2.30e+11;1.55e+30;
84;J0108-1431;01:08:08.3;-14:31:50.1;140.930;-76.815;0.807565;7.70e-17;1.238291;-1.181e-16;1.99;3.14;30.000;*;0.210;-0.204;0.030;8.537;*;1994;*;*;1.66e+08;2.52e+11;5.77e+30;
85;J0109+11;01:09;+11:32;129.793;-51.104;0.432700;*;2.311070;*;17.00;*;*;*;1.566;-1.219;0.756;9.129;*;2022;*;*;*;*;*;
86;J0110-22;01:10;-22;163.377;-83.360;1.262000;*;0.792393;*;20.80;*;43.000;*;25.000;-24.832;0.827;11.270;*;2020;*;*;*;*;*;
87;J0110-2223;01:10:16.6;-22:23:58.3;166.071;-83.626;1.261960;6.21e-16;0.792418;-3.900e-16;20.62;*;*;*;25.000;-24.845;0.668;11.194;*;2024;*;*;3.22e+07;8.96e+11;1.22e+31;
88;J0111+6624;01:11:21.8;+66:24:10.8;124.928;3.609;4.301872;8.36e-15;0.232457;-4.520e-16;111.20;*;33.000;*;2.412;0.152;1.974;9.878;*;2014;*;*;8.15e+06;6.07e+12;4.15e+30;
89;J0111-7131;01:11:28.7;-71:31:46.8;300.669;-45.510;0.688542;7.09e-15;1.452345;-1.496e-14;79.40;*;15.000;*;59.700;-42.589;-35.985;-12.840;EXGAL:SMC;2006;*;*;1.54e+06;2.24e+12;8.58e+32;
90;J0113-7220;01:13:11.0;-72:20:32.2;300.615;-44.688;0.325883;4.86e-15;3.068586;-4.575e-14;125.49;128.00;4.500;*;59.700;-41.984;-36.527;-13.115;EXGAL:SMC;2001;*;*;1.06e+06;1.27e+12;5.54e+33;
91;J0115+6325;01:15:45.8;+63:25:50.8;125.648;0.687;0.521455;1.60e-15;1.917709;-5.880e-15;65.07;*;22.000;*;1.931;0.023;1.569;9.625;*;2019;*;*;5.17e+06;9.24e+11;4.45e+32;
92;J0117+5914;01:17:38.6;+59:14:38.3;126.283;-3.457;0.101439;5.85e-15;9.858135;-5.685e-13;49.42;-8.00;4.100;*;1.768;-0.107;1.423;9.544;XRS:[pb15],GRS:[saa+23];1985;HE[saa+23];*;2.75e+05;7.80e+11;2.21e+35;
93;J0120+1837;01:20:12.0;+18:37:57.1;132.376;-43.711;1.313385;1.36e-17;0.761391;-7.900e-18;13.40;*;*;*;1.035;-0.715;0.553;9.004;*;2024;*;*;1.53e+09;1.35e+11;2.37e+29;
94;J0121+53;01:21;+53:29;127.378;-9.133;2.724785;*;0.367001;*;91.38;*;20.000;*;2.644;-0.420;2.074;10.085;*;2021;RRAT[gac+21];*;*;*;*;
95;J0122+1416;01:22:01.3;+14:16:17;134.030;-47.940;1.388994;3.80e-15;0.719946;-1.971e-15;17.69;-10.40;21.700;*;1.583;-1.175;0.762;9.237;*;2017;*;*;5.79e+06;2.33e+12;5.60e+31;
96;J0125+62;01:26;+62:35;126.899;-0.022;1.708230;*;0.585401;*;118.00;*;17.000;*;2.403;-0.001;1.922;9.943;*;2014;*;*;*;*;*;
97;J0125-2327;01:25:01.0;-23:27:08.1;188.932;-81.569;0.003675;1.84e-20;272.081088;-1.363e-15;9.60;4.78;0.670;ELL1;1.190;-1.178;-0.027;8.672;*;2019;*;*;3.16e+09;2.63e+08;1.46e+34;
98;J0129+36;01:29:30;+36:05;131.492;-26.155;1.089000;*;0.918274;*;54.00;*;*;*;25.000;-11.020;16.809;23.367;*;2024;*;*;*;*;*;
99;J0131-7310;01:31:28.5;-73:10:09.3;298.944;-43.648;0.348124;1.76e-15;2.872539;-1.453e-14;205.22;-57.00;4.400;*;59.700;-41.206;-37.803;-12.406;EXGAL:SMC;2006;*;*;3.13e+06;7.92e+11;1.65e+33;
100;J0133-6957;01:33:32.4;-69:57:29.6;297.691;-46.739;0.463474;1.20e-16;2.157620;-5.586e-16;22.95;7.00;4.500;*;2.441;-1.778;-1.481;7.723;*;1998;*;*;6.12e+07;2.39e+11;4.76e+31;
101;J0134-2937;01:34:18.6;-29:37:17.0;230.251;-80.250;0.136962;7.84e-17;7.301316;-4.178e-15;21.79;14.54;2.500;*;25.000;-24.639;-3.255;11.207;*;1996;*;*;2.77e+07;1.05e+11;1.20e+33;
102;J0137+1654;01:37:23.8;+16:54:42.1;138.449;-44.571;0.414763;1.22e-17;2.411015;-7.109e-17;26.08;-16.80;9.500;*;3.059;-2.147;1.445;10.131;*;2005;*;*;5.37e+08;7.21e+10;6.77e+30;
