#ATNF Pulsar Catalogue
#Catalogue Version: 2.7.0
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;P1;F0;F1;DM;RM;W50;BINARY;DIST;ZZ;XX;YY;ASSOC;DISC.;PSR;NGLT;AGE;BSURF;EDOT;
;;(hms);(dms);(deg);(deg);(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(type);(kpc);(kpc);(kpc);(kpc);;DATE;TYPE;;(Yr);(G);(ergs/s);
103;J0137+6349;01:37:13.3;+63:49:34.3;127.955;1.402;0.717963;9.60e-16;1.392830;-1.862e-15;285.50;*;25.000;*;9.097;0.223;7.171;14.093;*;2014;*;*;1.19e+07;8.40e+11;1.02e+32;
104;J0139+3336;01:39:57.2;+33:36:59.7;134.381;-28.174;1.247961;2.06e-15;0.801307;-1.325e-15;21.23;-29.10;18.000;*;1.470;-0.694;0.926;9.406;*;2018;RRAT[ttm18];*;9.58e+06;1.62e+12;4.19e+31;
105;J0139+5621;01:39:38.5;+56:21:36.8;129.609;-5.885;1.775344;7.91e-14;0.563271;-2.510e-14;101.84;*;36.000;*;2.410;-0.247;1.847;10.028;*;2014;*;*;3.56e+05;1.20e+13;5.58e+32;
106;J0139+5814;01:39:19.7;+58:14:31.8;129.216;-4.044;0.272451;1.07e-14;3.670390;-1.443e-13;73.81;-94.13;5.200;*;2.600;-0.183;2.009;10.140;GRS:[saa+23];1978;HE[saa+23];*;4.03e+05;1.73e+12;2.09e+34;
107;J0141+6009;01:41:39.9;+60:09:32.3;129.147;-2.105;1.222949;3.91e-16;0.817696;-2.615e-16;34.93;-47.00;34.900;*;2.300;-0.084;1.783;9.951;*;1972;*;*;4.95e+07;7.00e+11;8.44e+30;
108;J0141+63;01:41;+63:08;128.497;0.798;0.046686;*;21.419743;*;272.80;*;2.200;*;8.774;0.122;6.866;13.961;*;2014;*;*;*;*;*;
109;J0141+6303;01:41:45.7;+63:03:49.4;128.595;0.747;0.046680;1.65e-18;21.422324;-7.555e-16;272.76;*;*;*;8.788;0.115;6.868;13.982;*;2023;*;*;4.49e+08;8.87e+09;6.39e+32;
110;J0146+31;01:46:15;+31:04;136.532;-30.353;0.938100;*;1.065984;*;25.00;-32.00;12.800;*;1.825;-0.922;1.083;9.643;*;2016;*;*;*;*;*;
111;J0146+6145;01:46:22.4;+61:45:02.8;129.384;-0.431;8.688994;1.99e-12;0.115088;-2.640e-14;*;*;*;*;3.600;-0.027;2.782;10.784;XRS:4U_0142+61;1994;AXP,NRAD;3;6.91e+04;1.33e+14;1.20e+32;
112;J0147+5922;01:47:44.6;+59:22:03.2;130.059;-2.723;0.196321;2.57e-16;5.093689;-6.662e-15;40.11;-9.50;7.000;*;1.900;-0.090;1.453;9.721;*;1985;*;1;1.21e+07;2.27e+11;1.34e+33;
113;J0149+29;01:49:00;+29:10;137.766;-32.042;2.654000;*;0.376790;*;35.00;*;*;*;3.256;-1.727;1.855;10.544;*;2024;*;*;*;*;*;
114;J0151-0635;01:51:22.7;-06:35:02.9;160.368;-65.004;1.464665;4.43e-16;0.682750;-2.063e-16;25.49;-5.84;122.000;*;25.000;-22.658;3.549;18.450;*;1978;*;*;5.24e+07;8.15e+11;5.56e+30;
115;J0152+0948;01:52:23.7;+09:48:10;146.812;-50.221;2.746647;1.70e-15;0.364080;-2.253e-16;22.88;1.40;38.900;*;2.476;-1.903;0.867;9.826;*;2005;*;*;2.56e+07;2.19e+12;3.24e+30;
116;J0152-1637;01:52:10.8;-16:37:53.6;179.306;-72.457;0.832742;1.30e-15;1.200853;-1.874e-15;11.93;7.70;16.000;*;0.930;-0.887;0.003;8.780;*;1978;*;*;1.02e+07;1.05e+12;8.88e+31;
117;J0154+1833;01:54:36.8;+18:33:50.7;143.185;-41.810;0.002365;2.92e-21;422.909914;-5.220e-16;19.80;-22.84;0.200;*;1.622;-1.081;0.724;9.468;GRS:[saa+23];2019;HE[saa+23];*;1.28e+10;8.41e+07;8.72e+33;
118;J0156+04;01:56:01;+04:02;151.975;-55.155;*;*;*;*;27.50;*;3.800;*;25.000;-20.517;6.711;21.109;*;2016;RRAT[dsm+16];*;*;*;*;
119;J0156+3949;01:56:55.2;+39:49:29;136.369;-21.332;1.811561;1.52e-16;0.552010;-4.620e-17;59.83;-68.58;99.000;*;4.920;-1.790;3.162;11.817;*;1985;*;*;1.89e+08;5.30e+11;1.01e+30;
120;J0157+6212;01:57:49.9;+62:12:26.6;130.586;0.326;2.351745;1.89e-13;0.425216;-3.416e-14;30.21;-29.00;33.400;*;1.820;0.010;1.382;9.684;*;1972;*;3;1.97e+05;2.13e+13;5.73e+32;
121;J0158+21;01:58:29;+21:08;143.208;-39.084;0.505300;*;1.979022;*;20.00;-29.77;19.000;*;1.568;-0.989;0.729;9.475;*;2013;*;*;*;*;*;
122;J0201+7005;02:01:41.3;+70:05:18.1;128.889;8.033;1.349184;5.51e-15;0.741188;-3.029e-15;21.03;-39.00;11.000;*;1.172;0.164;0.903;9.229;*;2015;RRAT[kkl+15];*;3.88e+06;2.76e+12;8.86e+31;
123;J0203-0150;02:03:33.9;-01:50:01.5;160.317;-59.365;0.005173;1.43e-20;193.299398;-5.336e-16;19.22;2.60;*;ELL1;1.837;-1.581;0.315;9.381;*;2023;*;*;5.74e+09;2.75e+08;4.07e+33;
124;J0205+6449;02:05:37.9;+64:49:41.3;130.719;3.084;0.065716;1.94e-13;15.217011;-4.487e-11;140.70;*;2.300;*;3.200;0.172;2.422;10.585;GRS:4FGL_J0205.7+6449[aab+22],SNR:3C58[b;2002;HE[aab+22];9;5.37e+03;3.61e+12;2.70e+37;
125;J0206-4028;02:06:01.2;-40:28:03.6;258.595;-69.633;0.630551;1.20e-15;1.585914;-3.008e-15;13.00;-0.50;6.200;*;1.271;-1.192;-0.434;8.587;*;1978;*;*;8.35e+06;8.79e+11;1.88e+32;
126;J0209+4331;02:09:53.5;+43:31:05.9;137.686;-17.094;0.863883;5.72e-17;1.157565;-7.660e-17;57.29;79.00;*;*;2.531;-0.744;1.629;10.289;*;2023;*;*;2.39e+08;2.25e+11;3.50e+30;
127;J0209+5759;02:09:37.3;+57:59:45.3;133.162;-3.314;1.063906;1.39e-14;0.939932;-1.230e-14;55.28;*;20.000;*;1.743;-0.101;1.269;9.690;*;2021;*;*;1.21e+06;3.89e+12;4.56e+32;
128;J0210+5845;02:10:55.4;+58:45:04;133.098;-2.543;1.766219;1.52e-13;0.566181;-4.862e-14;76.79;*;40.900;*;1.952;-0.087;1.424;9.832;*;2019;*;*;1.84e+05;1.66e+13;1.09e+33;
129;J0211+4235;02:11:06.6;+42:35:24.4;138.214;-17.905;0.350731;1.11e-18;2.851188;-9.000e-18;49.70;49.00;*;*;2.240;-0.689;1.420;10.089;*;2023;*;*;5.02e+09;1.99e+10;1.01e+30;
130;J0211-8159;02:11:59.0;-81:59:36.2;299.592;-34.606;3.231999;7.14e-16;0.309406;-6.840e-17;24.36;31.01;42.000;*;1.656;-0.940;-1.185;7.827;*;1998;*;*;7.17e+07;1.54e+12;8.35e+29;
131;J0212+5222;02:12:52.1;+52:22:49.5;135.331;-8.520;0.376386;6.60e-15;2.656844;-4.658e-14;38.21;-13.68;13.000;*;1.558;-0.231;1.083;9.596;*;2013;*;2;9.04e+05;1.59e+12;4.89e+33;
132;J0212+5321;02:12:10.4;+53:21:38.8;134.922;-7.621;0.002115;*;472.880314;*;25.70;*;0.180;BT;0.862;-0.114;0.605;9.103;GRS:3FGL_J0212.5+5320[pbhg23];2023;HE[pbhg23];*;*;*;*;
133;J0214+5222;02:14:55.2;+52:22:40.9;135.632;-8.423;0.024575;2.96e-19;40.691272;-4.900e-16;22.04;-16.44;1.100;BT;1.161;-0.170;0.803;9.321;*;2014;*;*;1.32e+09;2.73e+09;7.87e+32;
134;J0215+6218;02:15:56.6;+62:18:33.3;132.575;1.030;0.548880;6.62e-16;1.821892;-2.198e-15;84.00;380.90;41.000;*;2.004;0.036;1.475;9.856;*;1998;*;1;1.31e+07;6.10e+11;1.58e+32;
135;J0218+4232;02:18:06.3;+42:32:17.3;139.508;-17.527;0.002323;7.74e-20;430.461055;-1.434e-14;61.25;-61.40;1.030;ELL1;3.150;-0.949;1.950;10.784;GRS:4FGL_J0218.1+4232[aab+22];1995;HE[khvb98],HE[aaa+09f];*;4.76e+08;4.29e+08;2.44e+35;
136;J0220+3626;02:20:42.1;+36:26:55.7;142.317;-23.040;1.029700;*;0.971157;*;40.00;-41.05;170.400;*;2.240;-0.877;1.260;10.131;*;2016;*;*;*;*;*;
137;J0227+3356;02:26:57.0;+33:56:27.7;144.657;-24.870;1.240102;2.85e-15;0.806385;-1.854e-15;27.00;*;24.800;*;1.595;-0.671;0.837;9.680;*;2023;*;*;6.89e+06;1.90e+12;5.90e+31;
138;J0229+20;02:29:03;+20:58;151.579;-36.417;0.806900;*;1.239311;*;27.00;-47.00;17.700;*;2.088;-1.240;0.800;9.978;*;2013;*;*;*;*;*;
139;J0231+7026;02:31:13.9;+70:26:33.8;131.155;9.181;1.466820;3.11e-15;0.681747;-1.445e-15;46.68;-43.81;34.000;*;1.755;0.280;1.304;9.640;*;1985;*;*;7.47e+06;2.16e+12;3.89e+31;
140;J0241+16;02:41:46;+16:04;157.964;-39.185;1.545400;*;0.647082;*;20.40;-5.60;39.200;*;0.936;-0.591;0.272;9.172;*;2013;*;*;*;*;*;
141;J0242+62;02:42:35;+62:56:50;135.187;2.751;0.592000;*;1.689189;*;3.92;*;18.000;*;0.217;0.010;0.153;8.654;*;2008;*;*;*;*;*;
142;J0243+6027;02:43;+60:27;136.271;0.500;1.473000;*;0.678887;*;141.00;*;36.000;*;2.717;0.024;1.878;10.463;*;2008;*;*;*;*;*;
143;J0244+14;02:44:51;+14:27;159.914;-40.140;2.128100;*;0.469903;*;31.00;-6.20;28.000;*;2.796;-1.802;0.734;10.507;*;2013;*;*;*;*;*;
144;J0248+4230;02:48:31.0;+42:30:20.4;144.877;-15.322;0.002601;1.69e-20;384.491935;-2.494e-15;48.26;*;*;*;1.853;-0.490;1.028;9.962;GRS:4FGL_J0248.6+4230[brj+21];2021;HE[brj+21];*;2.44e+09;2.12e+08;3.79e+34;
145;J0248+6021;02:48:18.6;+60:21:34.7;136.903;0.697;0.217094;5.51e-14;4.606300;-1.169e-12;370.00;-158.00;26.000;*;2.000;0.024;1.366;9.960;GRS:4FGL_J0248.4+6021[aab+22];2011;HE[tpc+11];*;6.24e+04;3.50e+12;2.13e+35;
146;J0250+5854;02:50:17.7;+58:54:01.3;137.767;-0.505;23.535378;2.72e-14;0.042489;-4.903e-17;45.28;*;155.300;*;1.558;-0.014;1.047;9.654;*;2018;*;*;1.37e+07;2.56e+13;8.22e+28;
147;J0251+2606;02:51:02.5;+26:06:09.9;153.881;-29.486;0.002542;7.57e-21;393.460010;-1.172e-15;20.22;*;*;ELL1;1.170;-0.576;0.448;9.414;GRS:4FGL_J0251.0+2605[drc+21];2016;HE[cck+16];*;5.32e+09;1.40e+08;1.82e+34;
148;J0255-5304;02:55:56.2;-53:04:21.2;269.862;-55.310;0.447708;3.13e-17;2.233596;-1.561e-16;17.97;23.93;7.400;*;1.846;-1.518;-1.051;8.503;*;1969;*;*;2.27e+08;1.20e+11;1.38e+31;
149;J0301+35;03:01;+35;150.915;-20.736;0.568040;*;1.760439;*;57.43;*;2.500;*;3.100;-1.098;1.409;11.034;*;2019;*;*;*;*;*;
150;J0302+2252;03:02:31.9;+22:52:12.1;158.436;-30.815;1.207165;8.25e-17;0.828387;-5.661e-17;18.99;-7.80;30.200;*;1.013;-0.519;0.320;9.309;*;2016;*;*;2.32e+08;3.19e+11;1.85e+30;
151;J0304+1932;03:04:33.1;+19:32:51.4;161.135;-33.270;1.387584;1.30e-15;0.720677;-6.727e-16;15.66;-8.42;48.100;*;0.749;-0.411;0.202;9.093;*;1973;*;*;1.70e+07;1.36e+12;1.91e+31;
152;J0305+11;03:05:06;+11:23;167.463;-39.662;0.862100;*;1.159958;*;27.97;*;21.500;*;1.838;-1.173;0.307;9.881;*;2019;*;*;*;*;*;
153;J0307+7443;03:07:55.8;+74:43:13.4;131.704;14.224;0.003156;1.73e-20;316.847877;-1.733e-15;6.34;13.00;*;ELL1;0.386;0.095;0.279;8.749;GRS:4FGL_J0307.8+7443[aab+22],GRS:3FGL_J;2011;HE[hrm+11],HE[aab+22],HE[;*;2.90e+09;2.36e+08;2.17e+34;
154;J0311+1402;03:11:18.5;+14:02:20.4;166.801;-36.650;40.910697;*;0.024443;*;19.90;*;432.000;*;0.971;-0.580;0.178;9.258;*;2025;*;*;*;*;*;
155;J0312-0921;03:12:06.2;-9:21:56;191.510;-52.378;0.003704;1.97e-20;269.953947;-1.437e-15;20.50;*;*;ELL1;0.817;-0.647;-0.100;8.989;GRS:4FGL_J0312.1-0921[aab+22];2021;HE[trr+21],HE[aab+22];*;2.98e+09;2.74e+08;1.53e+34;
156;J0317+13;03:17:54;+13:29;168.763;-36.040;1.974300;*;0.506509;*;12.90;*;24.100;*;0.367;-0.216;0.058;8.791;*;2018;*;*;*;*;*;
157;J0318+0253;03:18:15.5;+02:53:01.4;178.457;-43.605;0.005190;1.76e-20;192.683716;-6.540e-16;25.98;*;*;*;1.328;-0.916;0.026;9.461;GRS:4FGL_J0318.2+0254[aab+22];2018;HE[wlz+18];*;4.67e+09;3.06e+08;4.97e+33;
158;J0323+3944;03:23:26.6;+39:44:52.4;152.180;-14.338;3.032072;6.36e-16;0.329807;-6.914e-17;26.19;60.00;42.700;*;0.940;-0.233;0.425;9.305;*;1978;*;*;7.56e+07;1.40e+12;9.00e+29;
159;J0324+5239;03:24:55.4;+52:39:31.3;145.094;-3.480;0.336620;3.81e-16;2.970707;-3.362e-15;115.46;-126.00;45.000;*;2.290;-0.139;1.308;10.375;*;2013;*;*;1.40e+07;3.62e+11;3.94e+32;
160;J0325+6744;03:25:05.1;+67:44:59.3;136.715;9.089;1.364679;1.55e-15;0.732773;-8.340e-16;65.28;*;14.000;*;1.929;0.305;1.306;9.887;*;2014;*;*;1.39e+07;1.47e+12;2.41e+31;
161;J0329+1654;03:29:08.5;+16:54:02;168.499;-31.683;0.893320;2.15e-16;1.119420;-2.697e-16;40.82;5.50;29.200;*;2.557;-1.343;0.434;10.632;*;2005;*;*;6.58e+07;4.44e+11;1.19e+31;
162;J0332+5434;03:32:59.4;+54:34:43.3;144.995;-1.221;0.714520;2.05e-15;1.399542;-4.012e-15;26.76;-64.33;6.600;*;1.680;-0.036;0.964;9.876;*;1968;*;*;5.53e+06;1.22e+12;2.22e+32;
163;J0335+4555;03:35:16.6;+45:55:53.4;150.348;-8.038;0.269201;7.35e-18;3.714703;-1.014e-16;47.15;-2.70;1.800;*;2.410;-0.337;1.181;10.574;*;1985;*;*;5.80e+08;4.50e+10;1.49e+31;
164;J0335+6623;03:35:57.0;+66:23:23.6;138.383;8.588;1.761934;4.81e-15;0.567558;-1.550e-15;66.73;*;30.000;*;1.907;0.285;1.252;9.910;*;2014;*;*;5.80e+06;2.95e+12;3.47e+31;
165;J0337+1715;03:37:43.8;+17:15:14.8;169.990;-30.039;0.002733;1.77e-20;365.953363;-2.366e-15;21.32;26.40;0.700;ELL1;1.300;-0.651;0.196;9.608;OPT:[rsa+14],XRS:[ska+16];2014;*;*;2.45e+09;2.22e+08;3.42e+34;
166;J0337+79;03:37:22;+79:01:44;130.580;18.709;2.056210;*;0.486332;*;16.67;*;*;*;1.053;0.338;0.757;9.149;*;2015;RRAT[kkl+15];*;*;*;*;
167;J0340+4130;03:40:23.2;+41:30:45.2;153.783;-11.022;0.003299;7.05e-21;303.090979;-6.474e-16;49.58;55.00;0.200;*;1.603;-0.306;0.695;9.912;GRS:4FGL_J0340.3+4130[aab+22],GRS:3FGL_J;2022;HE[aab+22],HE[bbc+24];*;7.42e+09;1.54e+08;7.75e+33;
168;J0341+5711;03:41;+57:11;144.371;1.546;1.888000;*;0.529661;*;101.00;*;43.000;*;2.037;0.055;1.186;10.155;*;2008;*;*;*;*;*;
169;J0343+06;03:43;+06;180.791;-36.929;1.007640;*;0.992418;*;46.00;*;32.000;*;3.774;-2.267;-0.042;11.517;*;2019;*;*;*;*;*;
170;J0343+5312;03:43:12.9;+53:12:53.4;147.017;-1.428;1.934478;1.34e-14;0.516935;-3.587e-15;67.30;-69.70;44.900;*;1.705;-0.043;0.928;9.930;*;1978;*;*;2.28e+06;5.16e+12;7.32e+31;
171;J0343-3000;03:43:27.9;-30:00:27.5;227.758;-52.338;2.597027;3.91e-17;0.385056;-5.800e-18;20.26;38.00;38.000;*;1.594;-1.262;-0.721;9.155;*;2006;*;*;1.05e+09;3.23e+11;8.82e+28;
172;J0344-0901;03:44:37.4;-09:01:02.6;197.397;-45.333;1.226006;3.47e-15;0.815657;-2.309e-15;30.90;7.00;17.100;*;1.507;-1.072;-0.317;9.511;*;2020;*;*;5.60e+06;2.09e+12;7.44e+31;
173;J0348+0432;03:48:43.6;+04:32:11.4;183.337;-36.774;0.039123;2.41e-19;25.560637;-1.576e-16;40.46;48.30;2.300;ELL1;2.100;-1.257;-0.098;10.179;*;2013;*;*;2.57e+09;3.11e+09;1.59e+32;
174;J0349+2340;03:49:57.3;+23:40:53;167.434;-23.384;2.420771;1.10e-15;0.413092;-1.876e-16;62.96;97.00;55.600;*;3.745;-1.486;0.748;11.855;*;2019;*;*;3.49e+07;1.65e+12;3.06e+30;
175;J0355+28;03:55;+28;165.177;-19.444;0.364950;*;2.740101;*;48.68;*;2.700;*;1.789;-0.596;0.432;10.131;*;2020;*;*;*;*;*;
176;J0357+3205;03:57:52.5;+32:05:25;162.760;-16.006;0.444104;1.30e-14;2.251722;-6.610e-14;*;*;*;*;0.835;-0.230;0.238;9.267;GRS:4FGL_J0357.8+3204[aab+22];2009;NRAD[aab+22];*;5.40e+05;2.43e+12;5.88e+33;
177;J0357+5236;03:57:44.8;+52:36:57.4;149.099;-0.522;0.197030;4.77e-16;5.075367;-1.228e-14;103.71;261.00;12.500;*;2.900;-0.026;1.489;10.988;*;1985;*;*;6.55e+06;3.10e+11;2.46e+33;
178;J0358+4155;03:58:03.1;+41:55:19.0;156.112;-8.620;0.226484;1.46e-16;4.415316;-2.843e-15;46.33;-7.00;2.800;*;1.481;-0.222;0.593;9.839;*;2014;*;*;2.46e+07;1.84e+11;4.96e+32;
179;J0358+5413;03:58:53.7;+54:13:13.7;148.190;0.811;0.156384;4.39e-15;6.394511;-1.797e-13;57.14;81.90;2.000;*;1.000;0.014;0.527;9.350;XRS:PWN[mvk+06];1972;HE[to07];7;5.64e+05;8.39e+11;4.54e+34;
180;J0358+6627;03:58:37.9;+66:27:46.5;140.128;10.064;0.091506;1.09e-17;10.928271;-1.300e-15;62.33;*;2.300;*;1.884;0.329;1.189;9.924;*;2014;*;*;1.33e+08;3.19e+10;5.61e+32;
181;J0359+5414;03:59:26.0;+54:14:55.7;148.231;0.883;0.079427;1.67e-14;12.590140;-2.652e-12;*;*;*;*;*;0.000;0.000;8.500;GRS:4FGL_J0359.4+5414[aab+22],XRS:[wcp+1;2017;NRAD[aab+22];*;7.52e+04;1.17e+12;1.32e+36;
182;J0401-7608;04:01:51.7;-76:08:12.9;290.313;-35.907;0.545254;1.54e-15;1.834006;-5.193e-15;21.75;24.31;21.000;*;1.014;-0.595;-0.770;8.215;*;1978;*;*;5.60e+06;9.28e+11;3.76e+32;
183;J0402+4825;04:02:40.6;+48:25:57.5;152.428;-3.177;0.512194;2.75e-16;1.952384;-1.050e-15;85.70;-93.10;21.800;*;1.844;-0.102;0.852;10.132;*;2021;*;*;2.95e+07;3.80e+11;8.09e+31;
184;J0405+3347;04:05:29.5;+33:47:00.3;162.783;-13.678;0.063954;1.64e-19;15.636251;-4.000e-17;53.60;*;2.600;*;1.655;-0.391;0.476;10.036;*;2023;*;*;6.19e+09;3.27e+09;2.47e+31;
185;J0406+30;04:06;+30;165.571;-16.338;0.002600;*;384.615385;*;49.37;*;0.246;*;1.641;-0.462;0.392;10.025;*;2020;*;*;*;*;*;
186;J0406+3039;04:06:32.5;+30:39:42.4;165.179;-15.782;0.002609;8.31e-21;383.339448;-1.221e-15;49.38;64.00;*;ELL1;1.624;-0.442;0.400;10.011;*;2024;*;*;4.98e+09;1.49e+08;1.85e+34;
187;J0406+6138;04:06:30.0;+61:38:41.4;144.025;7.046;0.594576;5.57e-15;1.681870;-1.576e-14;65.41;8.18;18.400;*;4.200;0.515;2.449;11.873;*;1978;*;1;1.69e+06;1.84e+12;1.05e+33;
188;J0407+1607;04:07:54.9;+16:07:16.4;176.618;-25.656;0.025702;7.90e-20;38.907873;-1.196e-16;35.59;2.50;5.600;BT;1.337;-0.579;0.071;9.703;*;2005;*;*;5.15e+09;1.44e+09;1.84e+32;
189;J0408+4955_P;04:08:07.2;+49:55;152.100;-1.478;0.011440;*;87.412587;*;73.70;*;*;*;1.723;-0.044;0.806;10.022;*;2025;*;*;*;*;*;
190;J0408+551;04:08;+55;148.663;2.267;1.837000;*;0.544366;*;55.00;*;*;*;1.573;0.062;0.817;9.842;*;2008;*;*;*;*;*;
191;J0408+552;04:08;+55;148.663;2.267;0.754000;*;1.326260;*;63.80;*;47.000;*;1.661;0.066;0.863;9.918;*;2008;*;*;*;*;*;
192;J0410-31;04:10:39;-31:07:29;230.586;-46.671;1.878500;*;0.532340;*;9.20;*;26.000;*;0.415;-0.302;-0.220;8.681;*;2011;RRAT;*;*;*;*;
193;J0413+58;04:13;+58;147.122;4.934;0.687000;*;1.455604;*;57.00;*;21.000;*;1.630;0.140;0.882;9.864;*;2008;*;*;*;*;*;
194;J0414+31;04:14;+31;166.112;-14.415;1.081000;*;0.925069;*;64.10;*;20.000;*;1.842;-0.459;0.428;10.232;*;2020;*;*;*;*;*;
195;J0414+4859_P;04:14:57.7;+48:59;153.550;-1.402;0.806720;*;1.239587;*;72.70;*;*;*;1.702;-0.042;0.758;10.023;*;2025;*;*;*;*;*;
196;J0415+6111;04:15:51.6;+61:11:51.8;145.154;7.489;0.440189;5.01e-17;2.271749;-2.587e-16;70.80;*;*;*;1.845;0.240;1.045;10.001;*;2023;*;*;1.39e+08;1.50e+11;2.32e+31;
197;J0415+6954;04:15:55.6;+69:54:09.8;138.911;13.667;0.390715;7.66e-17;2.559410;-5.018e-16;27.45;-21.42;4.400;*;1.367;0.323;0.873;9.501;*;1985;*;1;8.08e+07;1.75e+11;5.07e+31;
198;J0416+5201_P;04:16:27.2;+52:01;151.621;0.951;0.018250;*;54.794521;*;140.50;*;*;*;2.839;0.047;1.349;10.997;*;2025;*;*;*;*;*;
199;J0417+35;04:17:43;+35:45;163.219;-10.518;0.654400;*;1.528117;*;48.53;42.00;8.600;*;1.480;-0.270;0.420;9.893;*;1996;*;1;*;*;*;
200;J0417+5058_P;04:17:44.9;+50:58;152.496;0.337;0.291360;*;3.432180;*;34.40;*;*;*;1.268;0.007;0.586;9.625;*;2025;*;*;*;*;*;
201;J0417+61;04:17;+61:08;145.299;7.540;0.440283;*;2.271266;*;70.14;*;19.000;*;1.837;0.241;1.037;9.997;*;2014;*;*;*;*;*;
202;J0418+5732;04:18:33.8;+57:32:22.9;147.979;5.119;9.078388;4.10e-15;0.110152;-4.975e-17;*;*;*;*;*;0.000;0.000;8.500;XRS:SGR_0418+5729;2010;AXP,NRAD;*;3.51e+07;6.17e+12;2.16e+29;
203;J0418+6635;04:18:47.9;+66:35:24.7;141.525;11.536;0.002910;1.37e-20;343.620798;-1.613e-15;77.56;*;*;*;2.205;0.441;1.344;10.191;GRS:4FGL_J0418.9+6636[aab+22];2021;HE[trr+21],HE[aab+22];*;3.37e+09;2.02e+08;2.19e+34;
204;J0418-4154;04:18:03.7;-41:54:14.4;246.262;-45.682;0.757119;1.32e-15;1.320796;-2.302e-15;24.32;*;14.000;*;2.519;-1.802;-1.611;9.208;*;2016;*;*;9.09e+06;1.01e+12;1.20e+32;
205;J0419+44;04:19;+44;157.525;-4.494;1.241000;*;0.805802;*;71.00;*;*;*;1.687;-0.132;0.643;10.054;*;2008;*;*;*;*;*;
206;J0420+4451;04:20:21.0;+44:51:02.5;157.097;-3.720;1.241126;5.92e-16;0.805720;-3.846e-16;71.67;*;*;*;1.686;-0.109;0.655;10.050;*;2024;*;*;3.32e+07;8.68e+11;1.22e+31;
207;J0420-5022;04:20:01.9;-50:22:48.1;258.136;-44.386;3.453004;2.76e-14;0.289603;-2.314e-15;*;*;*;*;*;-0.000;-0.000;8.500;XRS:RX_J0420.0-5022[hmp98],OPT:[kkvh11];2004;XINS,NRAD;*;1.98e+06;9.88e+12;2.65e+31;
208;J0421+3255;04:21:33.2;+32:55:50;165.840;-11.921;0.900105;6.00e-17;1.110981;-7.406e-17;77.02;*;100.700;*;1.939;-0.401;0.464;10.340;*;2016;*;*;2.38e+08;2.35e+11;3.25e+30;
209;J0421-0345;04:21:33.5;-03:45:06.6;197.504;-34.757;2.161309;1.16e-15;0.462682;-2.491e-16;44.88;-33.30;25.000;*;2.217;-1.264;-0.548;10.237;*;1996;*;*;2.94e+07;1.60e+12;4.55e+30;
210;J0426+4933;04:26:06.8;+49:33:38.4;154.436;0.288;0.922475;3.93e-14;1.084041;-4.624e-14;84.30;-169.00;14.000;*;1.795;0.009;0.775;10.119;*;2008;*;*;3.71e+05;6.10e+12;1.98e+33;
211;J0427+4723;04:27:51.4;+47:23:01.8;156.202;-1.017;2.158436;2.39e-14;0.463298;-5.126e-15;54.00;*;*;*;1.500;-0.027;0.605;9.872;*;2024;*;*;1.43e+06;7.27e+12;9.38e+31;
212;J0435+2749;04:35:51.8;+27:49:01.7;171.842;-13.071;0.326279;8.17e-18;3.064857;-7.670e-17;53.19;0.96;6.900;*;1.521;-0.344;0.210;9.967;*;1996;*;*;6.33e+08;5.22e+10;9.28e+30;
213;J0437-4715;04:37:16.0;-47:15:10.0;253.395;-41.963;0.005757;5.73e-20;173.687946;-1.728e-15;2.65;0.15;0.141;T2;0.157;-0.105;-0.112;8.533;GRS:4FGL_J0437.2-4715[aab+22],OPT:[bbm+9;1993;HE[bt93],HE[aaa+09f];*;1.59e+09;5.81e+08;1.19e+34;
214;J0447+2447;04:47:07.8;+24:47:50.2;175.883;-13.050;0.002995;8.00e-21;333.858342;-8.913e-16;32.91;66.00;*;*;0.925;-0.209;0.065;9.399;*;2023;*;*;5.93e+09;1.57e+08;1.17e+34;
215;J0447-04;04:47;-04:35;202.072;-29.657;2.188190;*;0.456999;*;29.83;*;*;*;0.675;-0.334;-0.220;9.044;*;2015;RRAT;*;*;*;*;
216;J0448-2749;04:48:41.5;-27:49:46.7;228.347;-37.918;0.450448;1.48e-16;2.220010;-7.311e-16;26.15;-1.40;11.000;*;1.803;-1.108;-1.063;9.445;*;1998;*;*;4.81e+07;2.62e+11;6.41e+31;
217;J0449-7031;04:49:05.6;-70:31:31.7;282.286;-35.512;0.479164;3.37e-15;2.086968;-1.468e-14;65.83;41.00;7.500;*;49.700;-28.869;-39.529;-0.109;EXGAL:LMC;2006;*;*;2.25e+06;1.29e+12;1.21e+33;
218;J0450-1248;04:50:08.8;-12:48:07.1;211.075;-32.629;0.438014;1.03e-16;2.283031;-5.350e-16;37.04;6.53;23.000;*;1.798;-0.969;-0.782;9.797;*;1978;*;*;6.76e+07;2.15e+11;4.82e+31;
219;J0451-67;04:51:50;-67:18;278.410;-36.290;0.245454;0.00e+00;4.074078;-0.000e+00;45.00;*;5.500;*;49.700;-29.416;-39.629;2.641;EXGAL:LMC;2006;*;*;*;*;*;
220;J0452-1759;04:52:34.1;-17:59:23.3;217.078;-34.087;0.548939;5.75e-15;1.821695;-1.909e-14;39.90;12.58;27.000;*;0.400;-0.224;-0.200;8.764;*;1969;*;*;1.51e+06;1.80e+12;1.37e+33;
